clip,chapter,speaker_jp,japanese,chinese,sec
ner0001,1,ねり,旅行、行こうよ！,去旅行嘛！,1.725
ner0002,2,ねり,お兄ちゃんいまパンツ見たでしょ！,哥哥刚才是不是在看我的内裤！,2.114
ner0003,2,ねり,んもー、エッチねえ。,讨厌～，大色狼。,2.418
ner0004,2,ねり,なんですってえ！,你说什么！,1.525
ner0005,2,ねり,ふわっと！,啊呀！,0.801
ner0006,2,ねり,ふぇあ、あ、あああ……ありがとうお兄ちゃん。,唔啊，啊，谢……谢谢哥哥。,6.234
ner0007,2,ねり,うー、だって猫ちゃん怖がってたんだもん。,呜~，谁叫小猫那么害怕。,4.42
ner0008,2,ねり,ひゃんっ。,呀。,0.659
ner0009,2,ねり,猫ちゃんなんだからしょうがないよ。,小猫又不会道谢，没办法的啦。,2.696
ner0010,2,ねり,"そんなこと言わない。
放っておけないでしょ。","别这么说呀。
这种事情怎么能放任不管呢。",3.54
ner0011,2,？？？,……。,……,1.251
ner0012,2,？？？,……探して。,……去寻找吧。,1.185
ner0013,2,？？？,……探して。,……找出来吧。,0.942
ner0014,2,？？？,心臓の中に……私が隠してある。探して。,我就藏在……心脏之中。找出来吧。,6.099
ner0015,2,？？？,翼の下を……。,就在翅膀之下……,1.375
ner0016,3,女の子,……探して。,……去寻找。,1.399
ner0017,3,女の子,心臓の中に……私が隠してある。探して。,我就藏在……心脏之中。找出来吧。,5.734
ner0018,3,女の子,翼の下を……。,就在翅膀之下……,1.326
ner0019,4,ねり,心臓の中に……私が隠してある。探して。,我就藏在……心脏里面。去寻找。,6.132
ner0020,4,ねり,翼の下を……。,就在翅膀之下……,1.715
ner0021,5,ねり,……お兄ちゃん。,……哥哥。,1.269
ner0022,5,ねり,お兄ちゃん、起きて。,哥哥，快起来。,2.591
ner0023,5,ねり,お兄ちゃん。,哥哥。,1.546
ner0024,5,ねり,起きて！,快起来！,1.164
ner0025,6,ねり,ちゃんと可愛く描いてよね。,要画得可爱一点哦。,2.546
ner0026,6,ねり,"んふふっ、お兄ちゃん、美大の人とは聞いてたけど、
こんなに絵が上手とは思わなかった。","嘿嘿，哥哥，我听说你是艺校的人，
却没想到你画画画得这么好。",8.323
ner0027,6,ねり,お兄ちゃん今日ご飯どうする？,哥哥今天吃什么？,2.994
ner0028,6,ねり,"またカップラーメンのつもりでしょ。
うちに来なよ、お母さんが栄養あるもの作ってくれるって。","你肯定又要吃泡面。
来我家吧，妈妈说会做很有营养的饭菜的。",7.944
ner0029,6,ねり,"ンもうお兄ちゃんは、あたしがいないと
ダメなんだから。","真是的，哥哥，
要是没我你该怎么办啊。",5.118
ner0030,6,ねり,"ほら、平気だから下りてきて。
あたしが受けとめてあげるから。","不怕，我会接住你的，
快下来吧。",6.008
ner0031,6,ねり,"お兄ちゃんもっと背伸びして。
もうちょっとで届くの。","哥哥把背挺得再直一些。
马上就碰到了。",4.578
ner0032,6,ねり,あとちょっとがんばれ。,再稍微加把劲。,2.395
ner0033,6,ねり,"にゃっ！
こら上見るなっつに。","呀！
喂，不要看上面啊。",2.81
ner0034,6,ねり,お兄ちゃんいまパンツ見てたでしょ！,哥哥刚刚看到内裤了吧！,2.357
ner0035,6,ねり,あ……。,啊……,1.178
ner0036,6,ねり,えへへ、来ちゃった。,哎嘿嘿，我来了。,2.809
ner0037,6,ねり,だって、お兄ちゃんが帰ってくるの遅いから。,因为，哥哥你回来得好晚啊。,3.924
ner0038,6,ねり,うん……はああ……さむい。,嗯……哈啊啊……好冷。,5.354
ner0039,6,ねり,あ、でもその前に、ほらお兄ちゃん。,啊，但是，在那之前，你看，哥哥。,4.081
ner0040,6,ねり,"ケーキ買ってきたの。今日クリスマスでしょ。
学校で、美味しいって評判だったとこ。","我买了蛋糕。今天是圣诞节吧。
学校里大家都说这个好吃。",6.705
ner0041,6,ねり,お礼、ほら、似顔絵描いてくれたお礼……と。,这是谢礼，就是，你为我画肖像画的谢礼……,5.699
ner0042,6,ねり,メリークリスマス。,圣诞快乐。,1.374
ner0043,6,ねり,うん。,嗯。,0.377
ner0044,6,ねり,"き、来てよかった……よね？
お仕事？
ってことはお兄ちゃん、今日一緒するカノジョとか……。","我、我过来……没事吧？
哥哥今天去做工作了吧？
那也就是说，和你一起过圣诞的女朋友……",10.304
ner0045,6,ねり,うんっ。,嗯。,0.605
ner0046,7,ねり,だからあ、すっごい運がいいよねって話。,所以说，我说你运气真的很好。,4.257
ner0047,7,ねり,お兄ちゃん。,哥哥你。,1.058
ner0048,7,ねり,"こぉんな美少女とお知り合いになれてる時点で
自覚しなさいよ。","能和我这样的美少女相识就该觉得运气好了吧，
有点自知之明啊。",5.193
ner0049,7,ねり,"ましてやそんな美少女が、お休みの日に
こうして遊びに来てあげてるんだよ？",更何况这样的美少女在休息日还会来找你玩喔？,5.939
ner0050,7,ねり,わーい。,哇。,0.935
ner0051,7,ねり,"んぐんぐ……ほれでね、おばあちゃんちの近くに
機関車の博物館があってね。","嗯咕嗯咕……然后啊，
奶奶家附近有个机车的博物馆。",9.614
ner0052,7,ねり,うんそれ。蒸気機関車。,嗯，就是那个。蒸汽机车。,2.423
ner0053,7,ねり,"あたしちょいちょい見に行くのよ。
おばあちゃんち、行くのは好きだけど何もなくて
すんごいヒマだから。","我时常会过去看看。
虽然我很喜欢去奶奶家，但是那边什么都没有，
所以每次都很无聊。",7.796
ner0054,7,ねり,それにＳＬって、こう、カッコいいでしょ。,而且，SL不是特别帅气么。,4.55
ner0055,7,ねり,"いい感じじゃん。
なんていうか……西部劇！　って感じ。","多好哇。
怎么说呢……有种西部剧的感觉！",4.852
ner0056,7,ねり,屋根の上でガンマンが決闘してそう。,恶汉在屋顶上决斗。,2.952
ner0057,7,ねり,車のタイムマシン後ろから押してそう。,汽车一样的时光机器从后面压上来。,3.174
ner0058,7,ねり,で、１回でいいから乗りたいなーって思ってたの。,我真的想坐坐看。哪怕一次也好。,4.297
ner0059,7,ねり,"そうなのよ。なんか騒音がどうのススがどうので、
人里離れたところにしか通ってないそうなんだけど。","就是啊。说什么噪声说什么嘶嘶的声音怎么样，
说是只会经过人烟稀少的地方。。",8.604
ner0060,7,ねり,"なんと！
今年の夏にね、そういう汽車のツアーがあるらしいの！","震惊！
今年的夏天，我听说似乎有一场那样的火车之旅！",4.794
ner0061,7,ねり,"二人一組からのお申込みで、
定員オーバーしたらクジで抽選。","两人一组进行申请，
说是超过规定人数的话就抽签选择。",4.836
ner0062,7,ねり,"今度申し込む予定なんだ。
楽しみ～、あたるといいなあ。","这次我想申请。好期待～，
如果能抽到就好了啊。",5.535
ner0063,7,ねり,お兄ちゃんも楽しみでしょ。,哥哥也很期待吧。,2.306
ner0064,7,ねり,？,？,0.329
ner0065,7,ねり,ド直球に言ってるよ。,我说得非常直接啊。,1.581
ner0066,7,ねり,お母さんは無理。お盆のころは町内会が忙しいんだって。,妈妈去不了。盂兰盆会的时候，居委会好像很忙。,4.867
ner0067,7,ねり,で、お母さんもお兄ちゃんに連れてってもらえって。,然后，妈妈也让我带上哥哥一起去。,4.274
ner0068,7,ねり,ね、ね、いいでしょ。旅行いこう旅行。,哥哥，一起去吧。我们去旅行吧，去旅行喔。,4.874
ner0069,7,ねり,それとも？　ねりひとりで行っちゃっていいのかなぁ。,还是说？　你真的忍心让音理一个人去么。,4.985
ner0070,7,ねり,"ねりみたいな可愛い子が一人旅なんてしてたら、
そりゃあもう男はほっとかないよ？
ナンパされ放題だよぉ？","如果像音理这样可爱的人独自去旅行的话，
男生们肯定不会善罢甘休哦？
肯定会和我搭讪的哦？",8.311
ner0071,7,ねり,んふふふお兄ちゃんは気になるんじゃない？,哈哈哈，哥哥应该会很在意吧？,3.769
